unit,time,operational_set1,operational_set2,operational_set3,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,cluster,stages,agg_cluster,time_to_next_stage
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.0,39.06,23.419,4,4,-1,24.0
1,1,-0.0005,0.0004,100.0,518.67,642.36,1583.23,1396.84,14.62,21.61,553.97,2387.96,9062.17,1.3,47.3,522.31,2388.01,8145.32,8.4246,0.03,391,2388,100.0,39.11,23.3537,4,4,-1,23.0
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.0,39.0,23.4236,4,4,-1,22.0
1,2,0.0008,-0.0003,100.0,518.67,642.5,1584.69,1396.89,14.62,21.61,554.55,2388.0,9061.78,1.3,47.23,522.42,2388.03,8152.85,8.4403,0.03,392,2388,100.0,38.99,23.4491,4,4,-1,21.0
1,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.0,38.95,23.3442,4,4,-1,20.0
1,3,-0.0014,-0.0002,100.0,518.67,642.18,1582.35,1405.61,14.62,21.61,554.43,2388.03,9070.23,1.3,47.22,522.03,2388.0,8150.17,8.3901,0.03,391,2388,100.0,38.85,23.3669,4,4,-1,19.0
1,4,0.0007,0.0,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.0,38.88,23.3739,4,4,-1,18.0
1,4,-0.002,0.0001,100.0,518.67,642.92,1585.61,1392.27,14.62,21.61,555.21,2388.0,9064.57,1.3,47.24,522.49,2388.08,8146.56,8.3878,0.03,392,2388,100.0,38.96,23.2951,4,4,4,17.0
1,5,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,14.62,21.61,554.0,2388.06,9055.15,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100.0,38.9,23.4044,4,4,-1,16.0
1,5,0.0016,0.0,100.0,518.67,641.68,1588.63,1397.65,14.62,21.61,554.74,2388.04,9076.14,1.3,47.15,522.58,2388.03,8147.8,8.3869,0.03,392,2388,100.0,39.14,23.4583,4,4,-1,15.0
1,6,-0.0043,-0.0001,100.0,518.67,642.1,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100.0,38.98,23.3669,4,4,-1,14.0
1,6,0.0011,-0.0005,100.0,518.67,642.24,1584.09,1400.01,14.62,21.61,554.75,2388.0,9074.98,1.3,47.07,522.42,2388.02,8144.92,8.4152,0.03,393,2388,100.0,38.92,23.4281,4,4,-1,13.0
1,7,0.001,0.0001,100.0,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100.0,39.1,23.3774,4,4,-1,12.0
1,7,-0.0038,0.0002,100.0,518.67,642.58,1585.61,1401.09,14.62,21.61,554.58,2388.04,9074.65,1.3,47.38,522.46,2388.02,8147.05,8.3842,0.03,391,2388,100.0,38.84,23.4087,4,4,-1,11.0
1,8,-0.0034,0.0003,100.0,518.67,642.56,1582.96,1400.97,14.62,21.61,553.85,2388.0,9040.8,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100.0,38.97,23.3106,4,4,-1,10.0
1,8,-0.0007,-0.0005,100.0,518.67,642.32,1588.32,1397.08,14.62,21.6,554.85,2388.06,9063.54,1.3,47.31,522.1,2387.97,8157.34,8.419,0.03,391,2388,100.0,39.05,23.459,4,4,-1,9.0
1,9,0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100.0,39.05,23.4066,4,4,-1,8.0
1,9,-0.0026,0.0,100.0,518.67,641.64,1587.81,1406.51,14.62,21.61,554.13,2388.04,9067.2,1.3,47.31,521.83,2388.01,8147.2,8.4091,0.03,392,2388,100.0,38.99,23.4693,4,4,-1,7.0
1,10,-0.0033,0.0001,100.0,518.67,641.71,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100.0,38.95,23.4694,4,4,-1,6.0
1,10,0.0019,-0.0002,100.0,518.67,642.42,1587.39,1402.25,14.62,21.61,554.78,2387.99,9070.04,1.3,47.35,521.96,2387.99,8152.86,8.3987,0.03,391,2388,100.0,38.94,23.4781,4,4,-1,5.0
1,11,0.0018,-0.0003,100.0,518.67,642.28,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100.0,38.94,23.4787,4,4,-1,4.0
1,11,0.0026,-0.0002,100.0,518.67,642.28,1582.38,1391.88,14.62,21.61,554.3,2388.01,9068.24,1.3,47.35,522.23,2388.03,8144.53,8.4235,0.03,392,2388,100.0,38.97,23.4127,4,4,-1,3.0
1,12,0.0016,0.0002,100.0,518.67,642.06,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100.0,39.06,23.366,4,4,-1,2.0
1,12,-0.0036,-0.0004,100.0,518.67,641.88,1583.24,1397.74,14.62,21.6,554.35,2388.04,9075.26,1.3,47.26,522.13,2387.98,8149.04,8.359,0.03,392,2388,100.0,39.09,23.366,4,4,4,1.0
1,13,-0.0019,0.0004,100.0,518.67,643.07,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100.0,38.93,23.2757,0,3,-1,1.0
1,13,-0.0011,0.0001,100.0,518.67,641.92,1589.68,1395.55,14.62,21.61,554.52,2387.98,9066.53,1.3,47.14,522.06,2388.02,8151.88,8.3821,0.03,391,2388,100.0,39.04,23.4273,4,4,-1,41.0
1,14,0.0009,-0.0,100.0,518.67,642.35,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393,2388,100.0,39.18,23.3826,4,4,-1,40.0
1,14,0.0009,0.0001,100.0,518.67,642.66,1587.29,1400.9,14.62,21.61,555.17,2388.02,9067.34,1.3,47.28,522.54,2387.97,8148.13,8.4277,0.03,390,2388,100.0,39.03,23.386,4,4,-1,39.0
1,15,-0.0018,-0.0003,100.0,518.67,642.43,1583.82,1402.13,14.62,21.61,553.64,2388.11,9052.22,1.3,47.3,522.5,2388.08,8127.56,8.4199,0.03,391,2388,100.0,38.99,23.35,4,4,-1,38.0
1,15,-0.005,0.0004,100.0,518.67,642.34,1580.8,1396.5,14.62,21.61,553.96,2387.95,9069.89,1.3,47.29,522.72,2388.0,8150.63,8.4007,0.03,390,2388,100.0,39.02,23.4556,4,4,-1,37.0
1,16,0.0006,0.0005,100.0,518.67,642.13,1587.98,1404.5,14.62,21.61,553.94,2388.05,9049.34,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100.0,38.97,23.455,4,4,-1,36.0
1,16,0.0024,0.0003,100.0,518.67,641.68,1587.32,1395.49,14.62,21.6,553.82,2388.02,9071.14,1.3,47.14,522.28,2387.98,8147.5,8.4197,0.03,391,2388,100.0,38.96,23.3717,4,4,4,35.0
1,17,0.0002,0.0002,100.0,518.67,642.58,1584.96,1399.95,14.62,21.61,553.8,2388.06,9054.92,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100.0,38.81,23.3319,4,4,-1,34.0
1,17,-0.0019,0.0001,100.0,518.67,641.9,1591.12,1395.08,14.62,21.61,555.06,2388.0,9060.74,1.3,47.0,521.98,2387.93,8154.66,8.3761,0.03,393,2388,100.0,39.04,23.3718,4,4,-1,33.0
1,18,-0.0031,-0.0001,100.0,518.67,642.62,1591.04,1396.12,14.62,21.61,554.2,2388.05,9049.55,1.3,47.21,521.76,2388.07,8132.73,8.4028,0.03,392,2388,100.0,38.89,23.3987,4,4,-1,32.0
1,18,-0.0036,0.0002,100.0,518.67,642.39,1578.96,1402.24,14.62,21.61,554.21,2387.97,9075.87,1.3,47.2,522.2,2388.01,8151.19,8.4205,0.03,392,2388,100.0,39.12,23.5448,4,4,-1,31.0
1,19,0.0032,-0.0003,100.0,518.67,641.79,1587.56,1400.35,14.62,21.61,554.18,2388.04,9053.99,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100.0,38.8,23.3464,4,4,-1,30.0
1,19,-0.001,-0.0,100.0,518.67,642.3,1584.04,1398.85,14.62,21.61,554.59,2387.98,9074.41,1.3,47.16,522.04,2387.98,8154.65,8.3727,0.03,391,2388,100.0,39.01,23.408,4,4,-1,29.0
1,20,-0.0037,0.0001,100.0,518.67,643.04,1581.11,1405.23,14.62,21.61,554.81,2388.05,9045.9,1.3,47.22,522.07,2388.02,8129.71,8.421,0.03,392,2388,100.0,39.03,23.422,4,4,-1,28.0
1,20,-0.0028,0.0004,100.0,518.67,642.26,1579.65,1395.59,14.62,21.61,554.49,2387.97,9071.28,1.3,47.16,523.02,2388.03,8146.24,8.4252,0.03,391,2388,100.0,38.87,23.4903,4,4,-1,27.0
1,21,-0.0012,0.0001,100.0,518.67,642.37,1586.07,1398.13,14.62,21.61,554.08,2388.11,9048.15,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392,2388,100.0,39.09,23.3101,4,4,-1,26.0
1,21,0.0001,-0.0002,100.0,518.67,642.62,1590.18,1398.01,14.62,21.61,554.0,2387.99,9074.66,1.3,47.26,522.77,2388.01,8148.33,8.422,0.03,391,2388,100.0,38.92,23.5088,4,4,-1,25.0
1,22,0.0002,0.0,100.0,518.67,642.77,1592.93,1400.57,14.62,21.61,553.63,2388.04,9061.21,1.3,47.24,522.0,2388.03,8130.41,8.4034,0.03,392,2388,100.0,38.92,23.3792,4,4,-1,24.0
1,22,0.0011,0.0004,100.0,518.67,642.13,1586.21,1397.07,14.62,21.61,554.51,2387.98,9075.72,1.3,47.32,522.68,2388.03,8152.3,8.4134,0.03,392,2388,100.0,39.02,23.3533,4,4,-1,23.0
1,23,0.0034,-0.0003,100.0,518.67,642.14,1588.19,1394.75,14.62,21.61,553.98,2388.05,9046.28,1.3,47.25,521.52,2388.05,8127.9,8.424,0.03,392,2388,100.0,38.94,23.4562,4,4,-1,22.0
1,23,-0.0057,-0.0001,100.0,518.67,642.05,1586.03,1394.01,14.62,21.61,554.36,2387.99,9068.45,1.3,47.17,521.82,2388.03,8153.47,8.3946,0.03,391,2388,100.0,39.06,23.4476,4,4,-1,21.0
1,24,-0.001,0.0003,100.0,518.67,642.38,1590.83,1398.81,14.62,21.61,553.49,2388.12,9043.76,1.3,47.44,522.13,2388.03,8133.88,8.3891,0.03,392,2388,100.0,39.0,23.3696,4,4,-1,20.0
1,24,0.0057,0.0002,100.0,518.67,642.02,1585.13,1394.81,14.62,21.61,554.39,2387.96,9072.51,1.3,47.41,522.59,2388.02,8154.84,8.4162,0.03,391,2388,100.0,39.07,23.4648,4,4,-1,19.0
1,25,0.0023,-0.0004,100.0,518.67,642.77,1594.1,1399.39,14.62,21.61,554.0,2388.02,9054.16,1.3,47.36,522.56,2388.02,8136.61,8.3917,0.03,393,2388,100.0,38.95,23.4288,4,4,-1,18.0
